#TEXT/SIMPLE
# elo ehi spectrum
4.0000000000000e-01 4.0999999998886e-01 3.4226064899354e-05
4.0999999998886e-01 4.1999999997772e-01 3.4116269951513e-05
4.1999999997772e-01 4.2999999996658e-01 3.4983102299789e-05
4.2999999996658e-01 4.3999999995544e-01 3.5692034227365e-05
4.3999999995544e-01 4.4999999994429e-01 3.6245241773628e-05
4.4999999994429e-01 4.5999999993315e-01 3.6663446073439e-05
4.5999999993315e-01 4.6999999992201e-01 3.6967689781648e-05
4.6999999992201e-01 4.7999999991087e-01 3.7160369808274e-05
4.7999999991087e-01 4.8999999989973e-01 3.7252700440526e-05
4.8999999989973e-01 4.9999999988859e-01 3.7255332158539e-05
4.9999999988859e-01 5.0999999987745e-01 3.7178280869208e-05
5.0999999987745e-01 5.1999999986631e-01 3.7030882107019e-05
5.1999999986631e-01 5.2999999985517e-01 3.6821731433519e-05
5.2999999985517e-01 5.3999999984403e-01 3.0329459987783e-05
5.3999999984403e-01 5.4999999983288e-01 2.5119656854124e-05
5.4999999983288e-01 5.5999999982174e-01 2.5212614519718e-05
5.5999999982174e-01 5.6999999981060e-01 2.5264961956170e-05
5.6999999981060e-01 5.7999999979946e-01 2.5279950215202e-05
5.7999999979946e-01 5.8999999978832e-01 2.5252245905670e-05
5.8999999978832e-01 5.9999999977718e-01 2.5193596379065e-05
5.9999999977718e-01 6.0999999976604e-01 2.5115226195579e-05
6.0999999976604e-01 6.1999999975490e-01 2.5011078285125e-05
6.1999999975490e-01 6.2999999974376e-01 2.4883642800999e-05
6.2999999974376e-01 6.3999999973261e-01 2.4735273138519e-05
6.3999999973261e-01 6.4999999972147e-01 2.4568162872963e-05
6.4999999972147e-01 6.5999999971033e-01 2.4384344612819e-05
6.5999999971033e-01 6.6999999969919e-01 2.4185711381917e-05
6.6999999969919e-01 6.7999999968805e-01 2.3974005312707e-05
6.7999999968805e-01 6.8999999967691e-01 2.3750842687441e-05
6.8999999967691e-01 6.9999999966577e-01 2.3517705112765e-05
6.9999999966577e-01 7.0999999965463e-01 2.3275147029310e-05
7.0999999965463e-01 7.1999999964349e-01 2.3025261617583e-05
